,first_call-load_image,last_call-check_for_debugger,last_call-create_mutex,last_call-create_open_file,last_call-create_thread,last_call-create_window,last_call-dump_line,last_call-enum_window,last_call-find_file,last_call-get_file_attributes,last_call-get_host_by_name,last_call-get_system_directory,last_call-get_system_time,last_call-kill_process,last_call-listen_socket,last_call-load_dll,last_call-load_driver,last_call-open_file,last_call-open_key,last_call-open_process,last_call-process,last_call-query_value,last_call-read_value,last_call-set_value,last_call-set_windows_hook,last_call-show_window,last_call-sleep,last_call-thread,last_call-vm_protect,last_call-write_value,num-accept_socket,num-add_netjob,num-all_section,num-bind_socket,num-change_service_config,num-check_for_debugger,num-com_create_instance,num-com_createole_object,num-com_get_class_object,num-connect,num-connect_socket,num-control_service,num-copy_file,num-create_directory,num-create_file,num-create_interface,num-create_key,num-create_mailslot,num-create_mutex,num-create_namedpipe,num-create_open_file,num-create_process,num-create_process_as_user,num-create_process_nt,num-create_service,num-create_socket,num-create_thread,num-create_thread_remote,num-create_window,num-delete_file,num-delete_key,num-delete_service,num-delete_share,num-delete_value,num-destroy_window,num-download_file,num-download_file_to_cache,num-dump_line,num-enum_handles,num-enum_items,num-enum_keys,num-enum_modules,num-enum_processes,num-enum_services,num-enum_share,num-enum_subtypes,num-enum_types,num-enum_user,num-enum_values,num-enum_window,num-exit_windows,num-find_file,num-find_window,num-get_computer_name,num-get_file_attributes,num-get_host_by_addr,num-get_host_by_name,num-get_system_directory,num-get_system_time,num-get_userinfo,num-get_username,num-get_windows_directory,num-impersonate_user,num-kill_process,num-listen_socket,num-load_dll,num-load_driver,num-load_image,num-logon_as_user,num-message,num-move_file,num-open_file,num-open_key,num-open_mutex,num-open_process,num-open_scmanager,num-open_service,num-open_url,num-query_value,num-read_section,num-read_section_names,num-read_value,num-recv_socket,num-remove_directory,num-revert_to_self,num-send_socket,num-set_file_attributes,num-set_file_time,num-set_system_time,num-set_thread_context,num-set_value,num-set_windows_hook,num-show_window,num-sleep,num-start_service,num-trimmed_bytes,num-unload_driver,num-vm_allocate,num-vm_mapviewofsection,num-vm_protect,num-vm_read,num-vm_write,num-write_value,num_system_calls
00269ea50001a6c699d0222032d45b74b2e7e8be9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,2,2,0,1,0,0,0,0,4,2,0,0,0,7,0,0,1,0,0,0,0,2,0,11,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,0,1,51,0,6,1,0,12,0,0,14,0,0,0,3,0,2,0,135,0,3,0,0,0,15,96,0,2,0,0,0,242,0,0,0,0,0,0,0,2,2,0,0,0,2,6,3,0,0,0,0,0,36,0,0,0,643
00278ec420236020d6121dffe0cc20034422e7228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,6,0,4,339,0,208,5,12,0,4,29,141,0,10,0,44,0,34,4,0,0,0,22,62,0,48,28,5,0,0,37,65,0,0,3434,0,0,272,0,197,0,0,0,0,0,24,86,0,85,44,35,238,0,17,86,11,0,3,5,12,2,0,467,0,5,0,0,0,241,2371,8,28,8,4,6,2004,1,0,51,211,1,0,17,20,18,0,0,70,28,4,254,0,205,0,0,0,365,0,0,3,5422
002d5615d19c851934dc481c607b6a74a6e9e536e,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,2,0,0,8,0,0,1,1,0,1,0,26,0,1,0,0,0,0,14,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,93
006be5Dc265600c19728c9747fb4c7bc9e8d6f106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,19,7,0,0,0,8,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,41,3,1,77,0,0,17,3,0,0,5,0,0,0,86,0,2,0,0,5,21,20,0,4,0,0,0,17,0,0,44,0,0,1,0,3,3,0,0,0,2,5,0,0,0,0,0,0,54,0,0,0,430
0089453df77890cae95ce7d9130a4ef85eaea36e8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,5,0,2,0,2,0,0,0,1,0,0,0,16,0,15,2,0,0,0,4,7,2,4,0,0,0,0,0,0,0,0,636,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,2,14,2,0,5,0,0,1,0,130,0,3,0,41,0,12,43,0,0,0,0,0,35,0,0,0,31,0,0,9,0,0,0,0,0,4,0,4,0,38,0,8,0,25,0,5,0,1085
009b59ea3f1f2023f41ce6c7e9c1376e57008fc01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
009e91f9f01186d90cac584d950d6246700a48d35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,0,1,49,0,6,6,0,7,0,0,15,0,0,0,2,0,2,0,133,0,3,0,0,0,15,96,0,6,0,0,0,242,0,0,0,0,0,0,0,1,1,0,0,0,2,4,4,0,0,0,0,0,36,0,0,0,650
00bee48acc9d1774e4edf96f9582fac06b2ec1f14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,10,0,5,32,0,0,0,10,0,0,0,0,0,1,0,6,0,8,0,0,0,0,20,7,0,4,0,0,0,0,0,3,0,0,853,0,0,2,0,0,0,0,0,0,0,2,4,0,3,0,1,4,0,16,9,1,0,0,1,1,1,0,92,0,2,0,0,0,3,49,0,0,0,0,0,9,0,0,2,46,0,0,11,0,0,0,0,1,3,1,3,0,48,0,0,0,20,0,0,0,1238
00bef0928a8a8e1001e99c0327898652b6f0bc75c,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,6,0,1,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,2,0,5,0,0,18,0,0,5,0,0,0,26,0,2,0,105,0,3,0,0,0,40,142,0,0,0,0,0,273,0,0,7,0,0,0,0,0,0,0,0,3,2,0,5,0,0,0,0,0,32,0,0,5,494
00bfdb4aa7b18d3bc0e28d2eb0cec76900b29b8b8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,0,1,48,0,6,1,0,7,0,0,13,0,0,0,2,0,2,0,133,0,3,0,0,0,15,96,0,2,0,0,0,242,0,0,0,0,0,0,0,1,1,0,0,0,2,4,3,0,0,0,0,0,36,0,0,0,636
